method,C_level,count,proportion
CAT-EAP,C1,1198,0.05893349075167257
CAT-EAP,C2,2485,0.12224517906336088
CAT-EAP,C3,4956,0.24380165289256198
CAT-EAP,C4,4880,0.2400629673356946
CAT-EAP,C5,4138,0.2035615899252263
CAT-EAP,C6,2671,0.13139512003148368
CAT-MLE,C1,2164,0.10186885091559572
CAT-MLE,C2,2737,0.12884244221625948
CAT-MLE,C3,4401,0.20717412794802995
CAT-MLE,C4,4261,0.20058372169655886
CAT-MLE,C5,3760,0.17699948218236597
CAT-MLE,C6,3920,0.18453137504119005
RB-Prior,C1,5029,0.13074563227953412
RB-Prior,C2,6371,0.1656353993344426
RB-Prior,C3,7409,0.19262167221297838
RB-Prior,C4,8128,0.2113144758735441
RB-Prior,C5,6216,0.16160565723793677
RB-Prior,C6,5311,0.13807716306156406
RB-NoPrior,C1,5146,0.16652104973627155
RB-NoPrior,C2,6389,0.20674368184318676
RB-NoPrior,C3,7489,0.24233893149532407
RB-NoPrior,C4,6579,0.21289195223764684
RB-NoPrior,C5,3760,0.12167103517457852
RB-NoPrior,C6,1540,0.049833349512992266
