method,group_theta,C_level,count,percentage
CAT-EAP,Sangat Rendah,C1,1105,26.89873417721519
CAT-EAP,Sangat Rendah,C2,1459,35.51606621226874
CAT-EAP,Sangat Rendah,C3,1093,26.606621226874395
CAT-EAP,Sangat Rendah,C4,409,9.95618305744888
CAT-EAP,Sangat Rendah,C5,42,1.0223953261927945
CAT-EAP,Sangat Rendah,C6,0,0.0
CAT-EAP,Rendah,C1,81,2.020958083832335
CAT-EAP,Rendah,C2,799,19.93512974051896
CAT-EAP,Rendah,C3,1785,44.535928143712574
CAT-EAP,Rendah,C4,1072,26.746506986027946
CAT-EAP,Rendah,C5,266,6.636726546906188
CAT-EAP,Rendah,C6,5,0.124750499001996
CAT-EAP,Sedang,C1,11,0.2749312671832042
CAT-EAP,Sedang,C2,198,4.948762809297675
CAT-EAP,Sedang,C3,1449,36.21594601349663
CAT-EAP,Sedang,C4,1622,40.53986503374156
CAT-EAP,Sedang,C5,673,16.820794801299673
CAT-EAP,Sedang,C6,48,1.1997000749812545
CAT-EAP,Tinggi,C1,1,0.024975024975024976
CAT-EAP,Tinggi,C2,23,0.5744255744255744
CAT-EAP,Tinggi,C3,492,12.287712287712289
CAT-EAP,Tinggi,C4,1250,31.218781218781217
CAT-EAP,Tinggi,C5,1719,42.93206793206793
CAT-EAP,Tinggi,C6,519,12.96203796203796
CAT-EAP,Sangat Tinggi,C1,0,0.0
CAT-EAP,Sangat Tinggi,C2,6,0.14261944378416924
CAT-EAP,Sangat Tinggi,C3,137,3.256477299738531
CAT-EAP,Sangat Tinggi,C4,527,12.526741145709533
CAT-EAP,Sangat Tinggi,C5,1438,34.1811266936059
CAT-EAP,Sangat Tinggi,C6,2099,49.893035417161876
CAT-MLE,Sangat Rendah,C1,1638,37.244201909959074
CAT-MLE,Sangat Rendah,C2,1416,32.196452933151434
CAT-MLE,Sangat Rendah,C3,785,17.849022282855845
CAT-MLE,Sangat Rendah,C4,377,8.572078217371534
CAT-MLE,Sangat Rendah,C5,65,1.4779445202364712
CAT-MLE,Sangat Rendah,C6,117,2.660300136425648
