method,group_theta,D_level,count,percentage
CAT-EAP,Sangat Rendah,D1,1454,35.39435248296008
CAT-EAP,Sangat Rendah,D2,1439,35.02921129503408
CAT-EAP,Sangat Rendah,D3,1215,29.576436222005842
CAT-EAP,Rendah,D1,1229,30.66367265469062
CAT-EAP,Rendah,D2,1197,29.865269461077844
CAT-EAP,Rendah,D3,1582,39.471057884231534
CAT-EAP,Sedang,D1,1017,25.418645338665335
CAT-EAP,Sedang,D2,1425,35.616095976005994
CAT-EAP,Sedang,D3,1559,38.96525868532867
CAT-EAP,Tinggi,D1,757,18.906093906093908
CAT-EAP,Tinggi,D2,1953,48.77622377622377
CAT-EAP,Tinggi,D3,1294,32.31768231768232
CAT-EAP,Sangat Tinggi,D1,457,10.862847634894223
CAT-EAP,Sangat Tinggi,D2,2010,47.777513667696695
CAT-EAP,Sangat Tinggi,D3,1740,41.35963869740908
CAT-MLE,Sangat Rendah,D1,1662,37.78990450204638
CAT-MLE,Sangat Rendah,D2,1495,33.992723965438834
CAT-MLE,Sangat Rendah,D3,1241,28.21737153251478
CAT-MLE,Rendah,D1,1313,31.923170435205446
CAT-MLE,Rendah,D2,1258,30.585946997325554
CAT-MLE,Rendah,D3,1542,37.490882567469
CAT-MLE,Sedang,D1,1052,25.677324871857454
CAT-MLE,Sedang,D2,1523,37.173541615816454
CAT-MLE,Sedang,D3,1522,37.149133512326095
CAT-MLE,Tinggi,D1,776,18.91299049475993
CAT-MLE,Tinggi,D2,1973,48.08676578113575
CAT-MLE,Tinggi,D3,1354,33.00024372410431
CAT-MLE,Sangat Tinggi,D1,576,12.709620476610766
CAT-MLE,Sangat Tinggi,D2,1869,41.24007060900265
CAT-MLE,Sangat Tinggi,D3,2087,46.050308914386584
RB-Prior,Sangat Rendah,D1,3948,55.58997465502675
RB-Prior,Sangat Rendah,D2,2224,31.315122500704028
RB-Prior,Sangat Rendah,D3,930,13.094902844269221
RB-Prior,Rendah,D1,3832,49.960886571056065
RB-Prior,Rendah,D2,2552,33.27249022164276
RB-Prior,Rendah,D3,1286,16.766623207301173
RB-Prior,Sedang,D1,3741,47.3664218789567
RB-Prior,Sedang,D2,2697,34.1478855406432
RB-Prior,Sedang,D3,1460,18.4856925804001
RB-Prior,Tinggi,D1,3494,43.861410996736126
RB-Prior,Tinggi,D2,2795,35.08661812703992
RB-Prior,Tinggi,D3,1677,21.05197087622395
RB-Prior,Sangat Tinggi,D1,2743,35.0408788962698
RB-Prior,Sangat Tinggi,D2,2728,34.84925907000511
RB-Prior,Sangat Tinggi,D3,2357,30.109862033725086
RB-NoPrior,Sangat Rendah,D1,4080,55.89806822852446
RB-NoPrior,Sangat Rendah,D2,2289,31.36046033703247
RB-NoPrior,Sangat Rendah,D3,930,12.741471434443074
RB-NoPrior,Rendah,D1,3410,49.25610284558717
RB-NoPrior,Rendah,D2,2308,33.33814820164668
RB-NoPrior,Rendah,D3,1205,17.405748952766142
RB-NoPrior,Sedang,D1,2873,46.406073332256504
RB-NoPrior,Sedang,D2,2110,34.08173154579227
RB-NoPrior,Sedang,D3,1208,19.51219512195122
RB-NoPrior,Tinggi,D1,2438,42.25303292894281
RB-NoPrior,Tinggi,D2,2024,35.077989601386484
RB-NoPrior,Tinggi,D3,1308,22.66897746967071
RB-NoPrior,Sangat Tinggi,D1,1752,37.11864406779661
RB-NoPrior,Sangat Tinggi,D2,1647,34.894067796610166
RB-NoPrior,Sangat Tinggi,D3,1321,27.987288135593218
