method,group_theta,theta,true_score,score,error
CAT-EAP,Sedang,0.0754336389015928,55.67495213910235,49.74809994516525,-5.926852193937101
CAT-MLE,Sedang,0.0754336389015928,55.67495213910235,65.11769631585233,9.442744176749976
RB-Prior,Sedang,0.0754336389015928,55.67495213910235,50.11257639112256,-5.562375747979793
RB-NoPrior,Sedang,0.0754336389015928,55.67495213910235,72.38644556596972,16.71149342686737
CAT-EAP,Sangat Rendah,-1.6019658118971685,22.669618871303506,27.655914473708,4.986295602404493
CAT-MLE,Sangat Rendah,-1.6019658118971685,22.669618871303506,31.965337870149952,9.295718998846446
RB-Prior,Sangat Rendah,-1.6019658118971685,22.669618871303506,43.12938816449347,20.459769293189964
RB-NoPrior,Sangat Rendah,-1.6019658118971685,22.669618871303506,47.10042432814708,24.430805456843572
CAT-EAP,Rendah,-0.24606248812994858,48.91455785958101,57.88960939550025,8.975051535919242
CAT-MLE,Rendah,-0.24606248812994858,48.91455785958101,43.75106542411279,-5.163492435468221
RB-Prior,Rendah,-0.24606248812994858,48.91455785958101,50.87661263645386,1.9620547768728471
RB-NoPrior,Rendah,-0.24606248812994858,48.91455785958101,53.60028099754127,4.6857231379602595
CAT-EAP,Sangat Rendah,-0.8432465953161917,36.54930017744994,40.328061249211835,3.778761071761892
CAT-MLE,Sangat Rendah,-0.8432465953161917,36.54930017744994,36.45960203725949,-0.08969814019045685
RB-Prior,Sangat Rendah,-0.8432465953161917,36.54930017744994,49.60965223562808,13.06035205817814
RB-NoPrior,Sangat Rendah,-0.8432465953161917,36.54930017744994,48.41886988076724,11.869569703317296
CAT-EAP,Sangat Tinggi,2.1709427174978138,89.48556540640158,88.42717839956927,-1.0583870068323051
CAT-MLE,Sangat Tinggi,2.1709427174978138,89.48556540640158,87.15703883359427,-2.3285265728073057
RB-Prior,Sangat Tinggi,2.1709427174978138,89.48556540640158,77.06919945725917,-12.416365949142403
RB-NoPrior,Sangat Tinggi,2.1709427174978138,89.48556540640158,93.60313315926892,4.117567752867345
CAT-EAP,Sedang,-0.1758858124323366,50.39417317333318,49.86010837035372,-0.5340648029794579
CAT-MLE,Sedang,-0.1758858124323366,50.39417317333318,47.832853496033515,-2.5613196772996645
RB-Prior,Sedang,-0.1758858124323366,50.39417317333318,51.01973684210527,0.625563668772088
RB-NoPrior,Sedang,-0.1758858124323366,50.39417317333318,61.03216155572175,10.63798838238857
CAT-EAP,Sedang,0.12320480678448567,56.67102139201362,54.74253117834634,-1.9284902136672812
CAT-MLE,Sedang,0.12320480678448567,56.67102139201362,50.00995815280612,-6.6610632392075
RB-Prior,Sedang,0.12320480678448567,56.67102139201362,49.260308467107336,-7.410712924906285
RB-NoPrior,Sedang,0.12320480678448567,56.67102139201362,66.50246305418722,9.831441662173596
CAT-EAP,Tinggi,0.5514853760404675,65.36486164645841,69.89268449292756,4.5278228464691495
CAT-MLE,Tinggi,0.5514853760404675,65.36486164645841,63.78252618488366,-1.5823354615747505
RB-Prior,Tinggi,0.5514853760404675,65.36486164645841,52.71721444842174,-12.647647198036665
RB-NoPrior,Tinggi,0.5514853760404675,65.36486164645841,54.45205479452055,-10.912806851937859
CAT-EAP,Sedang,0.043602446372453724,55.00940273062581,57.472901494807694,2.4634987641818853
CAT-MLE,Sedang,0.043602446372453724,55.00940273062581,56.07045833330974,1.061055602683929
RB-Prior,Sedang,0.043602446372453724,55.00940273062581,54.025974025974016,-0.9834287046517929
RB-NoPrior,Sedang,0.043602446372453724,55.00940273062581,57.585861953984676,2.5764592233588672
CAT-EAP,Sangat Tinggi,1.695051040430753,84.25614422427678,75.84533743978938,-8.410806784487406
CAT-MLE,Sangat Tinggi,1.695051040430753,84.25614422427678,79.72277150342092,-4.533372720855866
RB-Prior,Sangat Tinggi,1.695051040430753,84.25614422427678,61.34094151212555,-22.915202712151228
RB-NoPrior,Sangat Tinggi,1.695051040430753,84.25614422427678,74.29378531073448,-9.962358913542303
CAT-EAP,Rendah,-0.622649361734452,41.03780112947105,53.248614555206,12.210813425734948
