method,group_theta,mean_error,median_error,std_error,q25,q75,iqr,min_error,max_error,n_students
CAT-EAP,Sangat Rendah,2.1813769635692926,2.3017728169292635,4.943757045981978,-1.1874392717032451,5.532495094918026,6.719934366621271,-10.303052626531187,14.719288828502378,200
CAT-EAP,Rendah,1.3867490745644244,1.4152698430221768,6.508894957716198,-2.931833227106031,4.835037032656782,7.766870259762813,-16.20408344136764,24.54377575594991,200
CAT-EAP,Sedang,-0.2616999553416713,-0.34590384467925617,5.888837932635052,-3.952799917513687,3.150893276584746,7.103693194098433,-17.99416857235684,15.838710046353775,200
CAT-EAP,Tinggi,-0.3742318167357193,-1.1892352044691492,5.531136390482903,-4.127587267242733,3.5341348983475527,7.661722165590286,-12.336119713945074,15.490354136789463,200
CAT-EAP,Sangat Tinggi,-1.9005877193738474,-1.1428125995027898,5.2785034550796395,-4.91744319041393,1.7125672245307477,6.630010414944678,-19.24411613207095,10.230954148071106,200
CAT-MLE,Sangat Rendah,0.7048564453385461,0.675357063614106,5.486945451934567,-2.7872352265179634,4.116094774802034,6.903330001319997,-13.19525446601686,16.797164285706785,200
CAT-MLE,Rendah,0.09855181789250182,-0.17079913671635083,6.525119090525266,-4.9881507300516414,4.695415463732779,9.68356619378442,-14.840284825712605,23.510020836968266,200
CAT-MLE,Sedang,0.04957833778469262,0.15026048203457876,6.912544019591097,-4.248369654477347,5.678283213600535,9.926652868077882,-18.52496845977565,16.077915315761885,200
CAT-MLE,Tinggi,-0.08656849669361477,-0.06832066194091979,5.689365803277475,-3.308674280328047,3.4030179135376972,6.711692193865744,-19.212278338510913,14.512455287102654,200
CAT-MLE,Sangat Tinggi,-0.4942259129146953,-0.46480226125698465,4.707260229502214,-2.8068847002699826,2.6207571788100275,5.42764187908001,-15.089797629685762,11.219974708523509,200
RB-Prior,Sangat Rendah,15.840465416322917,16.272591500776823,5.462597601193278,12.208984275978763,19.553359856347647,7.344375580368885,-1.1829513972343975,27.679552404422353,200
RB-Prior,Rendah,5.901810998449711,6.152601723160192,4.242677175662877,2.8661437257872517,8.780326401866226,5.914182676078974,-10.564846205402091,16.479646276859754,200
RB-Prior,Sedang,-1.420772518594985,-1.3279081399977173,3.7832635861890087,-3.8440142734553504,1.0217464081616328,4.865760681616983,-11.818379356437354,8.140756119021397,200
RB-Prior,Tinggi,-8.221248540038319,-8.19619055726557,3.9921093660481093,-11.105964690383482,-5.522706044236717,5.583258646146765,-18.461977000421818,3.2048947151429843,200
RB-Prior,Sangat Tinggi,-13.144607109488504,-14.20203870389878,5.299247213748405,-16.385319083960077,-10.309119846764531,6.076199237195546,-27.398561556860955,8.36659091770953,200
RB-NoPrior,Sangat Rendah,14.967722904859002,15.22468356432975,5.820429680621598,11.172560837173634,18.59333475443242,7.420773917258785,-0.8109216399154704,30.126679727732522,200
RB-NoPrior,Rendah,8.346414279014635,6.868459859078783,6.856934852972744,3.869556458675911,12.010752046993105,8.141195588317194,-7.13796133058343,34.209201481072434,200
RB-NoPrior,Sedang,4.904361311651098,2.9872189255410007,8.858973957441144,-1.9628316344485768,11.698028678621922,13.660860313070499,-14.238451690717277,34.06323796514306,200
RB-NoPrior,Tinggi,0.9496046748917888,0.3083027248853085,9.493783463945592,-7.048016487651324,8.910753375130941,15.958769862782265,-16.429246019071982,27.31563045097412,200
RB-NoPrior,Sangat Tinggi,0.09279544397118865,0.9913994452997841,7.85725489333966,-4.2964005782121255,5.415377835375143,9.711778413587268,-24.095919847285167,20.65009110553943,200
