method,group_score,avg_items,std_items,min_items,max_items,n_students
CAT-EAP,Sangat Rendah,20.535,1.4173281537729316,20,29,200
CAT-EAP,Rendah,20.035,0.23247629154529556,20,22,200
CAT-EAP,Sedang,20.005,0.07071067811865475,20,21,200
CAT-EAP,Tinggi,20.03,0.2221412471117008,20,22,200
CAT-EAP,Sangat Tinggi,21.035,3.061148173594921,20,40,200
CAT-MLE,Sangat Rendah,22.035,3.1818857592510486,20,40,200
CAT-MLE,Rendah,20.55,0.9283367089726284,20,24,200
CAT-MLE,Sedang,20.435,0.8540621233568222,20,25,200
CAT-MLE,Tinggi,20.585,1.2492309191847744,20,29,200
CAT-MLE,Sangat Tinggi,22.61,4.70303013623255,20,40,200
RB-Prior,Sangat Rendah,37.02,4.403014043052393,24,40,200
RB-Prior,Rendah,37.46,4.22583582764535,24,40,200
RB-Prior,Sedang,38.86,2.3682149841294553,30,40,200
RB-Prior,Tinggi,39.845,0.7166189458616339,34,40,200
RB-Prior,Sangat Tinggi,39.135,3.5268923784609916,20,40,200
RB-NoPrior,Sangat Rendah,38.245,3.564900782341593,20,40,200
RB-NoPrior,Rendah,37.605,4.611431611499588,20,40,200
RB-NoPrior,Sedang,34.765,8.77810060612524,20,40,200
RB-NoPrior,Tinggi,23.5,7.618411973963152,20,40,200
RB-NoPrior,Sangat Tinggi,20.4,2.807026359855679,20,40,200
