method,group_theta,avg_items,std_items,min_items,max_items,n_students
CAT-EAP,Sangat Rendah,20.54,1.4171951915862815,20,29,200
CAT-EAP,Rendah,20.04,0.24226734682305706,20,22,200
CAT-EAP,Sedang,20.005,0.07071067811865475,20,21,200
CAT-EAP,Tinggi,20.02,0.17247824129029424,20,22,200
CAT-EAP,Sangat Tinggi,21.035,3.062789315633676,20,40,200
CAT-MLE,Sangat Rendah,21.99,3.197030657520448,20,40,200
CAT-MLE,Rendah,20.565,0.9328052466301331,20,24,200
CAT-MLE,Sedang,20.485,0.9666681106672055,20,27,200
CAT-MLE,Tinggi,20.515,0.9872427468490362,20,27,200
CAT-MLE,Sangat Tinggi,22.66,4.72504287290113,20,40,200
RB-Prior,Sangat Rendah,35.51,4.849483213414181,24,40,200
RB-Prior,Rendah,38.35,3.2029352116221843,25,40,200
RB-Prior,Sedang,39.49,1.5530485501087772,31,40,200
RB-Prior,Tinggi,39.83,0.7964115498810395,33,40,200
RB-Prior,Sangat Tinggi,39.14,3.527408831610908,20,40,200
RB-NoPrior,Sangat Rendah,36.495,5.697568466649681,20,40,200
RB-NoPrior,Rendah,34.615,8.15717306190135,20,40,200
RB-NoPrior,Sedang,30.955,9.871688109470096,20,40,200
RB-NoPrior,Tinggi,28.85,9.914584962310544,20,40,200
RB-NoPrior,Sangat Tinggi,23.6,7.703030794244915,20,40,200
