method,student_id,theta,group_theta,true_score,estimated_score,items,error
CAT-EAP,0,0.0754336389015928,Sedang,55.67495213910235,49.74809994516525,20,-5.926852193937101
CAT-MLE,0,0.0754336389015928,Sedang,55.67495213910235,65.11769631585233,20,9.442744176749976
RB-Prior,0,0.0754336389015928,Sedang,55.67495213910235,50.11257639112256,40,-5.562375747979793
RB-NoPrior,0,0.0754336389015928,Sedang,55.67495213910235,72.38644556596972,20,16.71149342686737
CAT-EAP,1,-1.6019658118971685,Sangat Rendah,22.669618871303506,27.655914473708,20,4.986295602404493
CAT-MLE,1,-1.6019658118971685,Sangat Rendah,22.669618871303506,31.965337870149952,22,9.295718998846446
RB-Prior,1,-1.6019658118971685,Sangat Rendah,22.669618871303506,43.12938816449347,30,20.459769293189964
RB-NoPrior,1,-1.6019658118971685,Sangat Rendah,22.669618871303506,47.10042432814708,33,24.430805456843572
CAT-EAP,2,-0.24606248812994858,Rendah,48.91455785958101,57.88960939550025,20,8.975051535919242
CAT-MLE,2,-0.24606248812994858,Rendah,48.91455785958101,43.75106542411279,20,-5.163492435468221
RB-Prior,2,-0.24606248812994858,Rendah,48.91455785958101,50.87661263645386,40,1.9620547768728471
RB-NoPrior,2,-0.24606248812994858,Rendah,48.91455785958101,53.60028099754127,40,4.6857231379602595
CAT-EAP,3,-0.8432465953161917,Sangat Rendah,36.54930017744994,40.328061249211835,20,3.778761071761892
CAT-MLE,3,-0.8432465953161917,Sangat Rendah,36.54930017744994,36.45960203725949,23,-0.08969814019045685
RB-Prior,3,-0.8432465953161917,Sangat Rendah,36.54930017744994,49.60965223562808,40,13.06035205817814
RB-NoPrior,3,-0.8432465953161917,Sangat Rendah,36.54930017744994,48.41886988076724,31,11.869569703317296
CAT-EAP,4,2.1709427174978138,Sangat Tinggi,89.48556540640158,88.42717839956927,25,-1.0583870068323051
CAT-MLE,4,2.1709427174978138,Sangat Tinggi,89.48556540640158,87.15703883359427,34,-2.3285265728073057
RB-Prior,4,2.1709427174978138,Sangat Tinggi,89.48556540640158,77.06919945725917,40,-12.416365949142403
RB-NoPrior,4,2.1709427174978138,Sangat Tinggi,89.48556540640158,93.60313315926892,20,4.117567752867345
CAT-EAP,5,-0.1758858124323366,Sedang,50.39417317333318,49.86010837035372,20,-0.5340648029794579
CAT-MLE,5,-0.1758858124323366,Sedang,50.39417317333318,47.832853496033515,20,-2.5613196772996645
RB-Prior,5,-0.1758858124323366,Sedang,50.39417317333318,51.01973684210527,40,0.625563668772088
RB-NoPrior,5,-0.1758858124323366,Sedang,50.39417317333318,61.03216155572175,20,10.63798838238857
CAT-EAP,6,0.12320480678448567,Sedang,56.67102139201362,54.74253117834634,20,-1.9284902136672812
