method,group_theta,correlation,rmse,bias,avg_items
CAT-EAP,Sangat Rendah,0.8380767891463459,5.392303359255556,2.1813769635692926,20.54
CAT-EAP,Rendah,0.4317930422129832,6.639047973808875,1.3867490745644244,20.04
CAT-EAP,Sedang,0.33695547470951737,5.879924064346674,-0.2616999553416713,20.005
CAT-EAP,Tinggi,0.506142360913188,5.5299685237739755,-0.3742318167357193,20.02
CAT-EAP,Sangat Tinggi,0.7363448782639929,5.597813806361903,-1.9005877193738474,21.035
CAT-MLE,Sangat Rendah,0.7804923913602118,5.518411016685707,0.7048564453385461,21.99
CAT-MLE,Rendah,0.40094409140248655,6.509531911790547,0.09855181789250182,20.565
CAT-MLE,Sedang,0.3385547159931054,6.895419241079415,0.04957833778469262,20.485
CAT-MLE,Tinggi,0.4644850986979001,5.675784785552165,-0.08656849669361477,20.515
CAT-MLE,Sangat Tinggi,0.7865041202355494,4.721415743917108,-0.4942259129146953,22.66
RB-Prior,Sangat Rendah,0.6855203515845085,16.75145119968781,15.840465416322917,35.51
RB-Prior,Rendah,0.38495636254398874,7.262346805973138,5.901810998449711,38.35
RB-Prior,Sedang,0.39129431113007385,4.032382979748518,-1.420772518594985,39.49
RB-Prior,Tinggi,0.3444741824402404,9.134888070557777,-8.221248540038319,39.83
RB-Prior,Sangat Tinggi,0.7986201251806471,14.167650016501463,-13.144607109488504,39.14
RB-NoPrior,Sangat Rendah,0.6899799908101271,16.054306077042583,14.967722904859002,36.495
RB-NoPrior,Rendah,0.2647540364385105,10.790973038468874,8.346414279014635,34.615
RB-NoPrior,Sedang,0.2158816724489349,10.106521278657032,4.904361311651098,30.955
RB-NoPrior,Tinggi,0.2264110230487814,9.517510907614534,0.9496046748917888,28.85
RB-NoPrior,Sangat Tinggi,0.5693742987736169,7.838136460985947,0.09279544397118865,23.6
